,miasto,zielonosc,ilosc_pikseli_zielonych,x,y,ilosc_pikseli_rzeki,zielonosc_po_closing,zielonosc_po_opening
0,Amsterdam,0.0890496330534087,122455,1280,1280,263268,175166,122455
1,Bangkok,0.02538707510872046,38593,1280,1280,118217,60305,38593
2,Barcelona,0.018811688627412847,27083,1280,1280,198710,39824,27083
3,Berlin,0.0019403221197346954,3103,1280,1280,39181,7507,3103
4,Bialystok,0.1870257568359375,306423,1280,1280,0,359992,306423
5,Chicago,0.06365734475273509,83491,1280,1280,326831,119010,83491
6,Downtown Core - Singapur,0.2869400767967697,359288,1280,1280,386264,402638,359288
7,Drezno,0.27875423038365554,433496,1280,1280,83281,485299,433496
8,Dzakarta,0.0003597919431503831,578,1280,1280,31916,1597,578
9,Frankfurt,0.04908222471549928,76556,1280,1280,78650,114695,76556
10,Gdansk,0.5087512340466613,769385,1280,1280,126099,827657,769385
11,Gdynia,0.3515412991784728,502497,1280,1280,208989,545665,502497
12,Krakow,0.19905627677850812,316432,1280,1280,48739,365877,316432
13,Kuala Lumpur,0.22023701977500082,358371,1280,1280,11194,427582,358371
14,Lizbona,0.07805823589224001,108166,1280,1280,252691,141200,108166
15,Lodz,0.1692205810546875,277251,1280,1280,0,320739,277251
16,Londyn,0.13281400156877413,204541,1280,1280,98344,225571,204541
17,Lublin,0.346766357421875,568142,1280,1280,0,626448,568142
18,Madryt,0.14003238391907105,227017,1280,1280,17225,264446,227017
19,Nowy Jork,0.05863066926272836,55347,1280,1280,694406,77690,55347
20,Paryz,0.008410500165891973,13207,1280,1280,68101,21916,13207
21,Poznan,0.37211567804305135,596283,1280,1280,35987,634389,596283
22,rynek - Walbrzych,0.7190495476417733,1164669,1280,1280,18666,1193182,1164669
23,Rzym,0.07485301035903319,120448,1280,1280,29273,152444,120448
24,Stambul,0.014636775924905957,8743,1280,1280,1041069,25493,8743
25,Strasburg,0.7753550394926038,1259648,1280,1280,13792,1273043,1259648
26,Swidnica,0.6018374276995051,979748,1280,1280,10472,1016566,979748
27,Szczecin,0.19395334853673382,290950,1280,1280,138297,343179,290950
28,Warszawa,0.1315508298296642,208321,1280,1280,54822,257051,208321
29,Wieden,0.09085112781149184,135651,1280,1280,145287,163784,135651
30,Wroclaw,0.179844282157186,280026,1280,1280,81353,326664,280026
